Date,Open,High,Low,Close,Volume,Change
2022/1/3,36321.59,36595.82,36246.45,36585.06,436598443,3.470065253
2022/1/4,36636,36934.84,36636,36799.65,543039217,214.59
2022/1/5,36722.6,36952.65,36400.39,36407.11,539088106,-392.54
2022/1/6,36409.05,36464.19,36200.68,36236.47,449741445,-170.64
2022/1/7,36249.59,36382.84,36111.53,36231.66,406797595,-4.81
2022/1/10,36175.21,36175.21,35639.91,36068.87,488023456,-162.79
2022/1/11,36058.85,36271.47,35769.38,36252.02,421210623,183.15
2022/1/12,36336.16,36453.49,36168.15,36290.32,361798146,38.3
2022/1/13,36312.49,36513.88,36044.22,36113.62,395636110,-176.7
2022/1/14,35996.43,35996.43,35641.49,35911.81,439707231,-201.81
2022/1/18,35661.76,35661.76,35262.02,35368.47,490284707,-543.34
2022/1/19,35412.3,35547.83,35015.49,35028.65,443735245,-339.82
2022/1/20,35102.66,35490.2,34670.12,34715.39,429729331,-313.26
2022/1/21,34701.69,34896.67,34229.55,34265.37,593443286,-450.02
2022/1/24,34070.61,34420.99,33150.33,34364.5,768621756,99.13
2022/1/25,34186.64,34591.04,33545.52,34297.73,607002705,-66.77
2022/1/26,34520.82,34815.67,33876.48,34168.09,620827829,-129.64
2022/1/27,34261.75,34773.32,34007.78,34160.78,597909180,-7.31
2022/1/28,34135.24,34731.77,33807.51,34725.47,626107251,564.69
2022/1/31,34691.17,35148.14,34496.1,35131.86,541194328,406.39
2022/2/1,35151.47,35441.09,34977.95,35405.24,479954926,273.38
2022/2/2,35378.19,35679.2,35290.12,35629.33,427396514,224.09
2022/2/3,35520.08,35535.94,35071.06,35111.16,430259974,-518.17
2022/2/4,35095.74,35333.55,34799.08,35089.74,400793221,-21.42
2022/2/7,35108.38,35325.01,34993.98,35091.13,394775875,1.39
2022/2/8,35160.68,35544.89,35090.42,35462.78,432972715,371.65
2022/2/9,35614.9,35824.28,35614.9,35768.06,421274330,305.28
2022/2/10,35630.81,35800.24,35100.72,35241.59,478651056,-526.47
2022/2/11,35267.89,35431.15,34620.52,34738.06,477808044,-503.53
2022/2/14,34694.5,34744.56,34304.28,34566.17,445148572,-171.89
2022/2/15,34686.19,35047.79,34686.19,34988.84,359542132,422.67
2022/2/16,34951.83,35042.09,34642.64,34934.27,351306790,-54.57
2022/2/17,34858.47,34858.47,34246.23,34312.03,389158484,-622.24
2022/2/18,34310.45,34423.58,33976.18,34079.18,457375432,-232.85
2022/2/22,33974.09,34024.74,33364.29,33596.61,500105667,-482.57
2022/2/23,33680.97,33832.59,33084.9,33131.76,421224713,-464.85
2022/2/24,32830.33,33269.34,32272.64,33223.83,673343191,92.07
2022/2/25,33277.22,34095.74,33277.22,34058.75,475477113,834.92
2022/2/28,33870.62,33963.63,33469.31,33892.6,524132660,-166.15
2022/3/1,33813.48,33870.14,33107.67,33294.95,503166939,-597.65
2022/3/2,33379.51,34013.67,33379.51,33891.35,472111450,596.4
2022/3/3,33972.87,34179.07,33641.53,33794.66,424911715,-96.69
2022/3/4,33655.43,33655.43,33254.12,33614.8,482475277,-179.86
2022/3/7,33579.75,33579.75,32806.15,32817.38,581146275,-797.42
2022/3/8,32885.17,33402.98,32578.73,32632.64,653514090,-184.74
2022/3/9,32860.42,33457.28,32860.42,33286.25,507633430,653.61
2022/3/10,33106.77,33236.59,32819.76,33174.07,462887778,-112.18
2022/3/11,33279.72,33515.61,32911.89,32944.19,432875928,-229.88
2022/3/14,33000.37,33395.59,32818.16,32945.24,475399572,1.05
2022/3/15,32989.27,33620.84,32989.27,33544.34,466327845,599.1
2022/3/16,33653.93,34075.94,33391.24,34063.1,492932033,518.76
2022/3/17,33995.39,34483.92,33896.06,34480.76,399761144,417.66
2022/3/18,34466.72,34755.2,34279.83,34754.93,704812266,274.17
2022/3/21,34669.85,34808.28,34341.81,34552.99,472925514,-201.94
2022/3/22,34583.24,34882.03,34583.24,34807.46,419366656,254.47
2022/3/23,34748.84,34748.84,34352.96,34358.5,398765941,-448.96
2022/3/24,34406.81,34713.56,34355.42,34707.94,365854858,349.44
2022/3/25,34702.39,34942.7,34631.52,34861.24,323036635,153.3
2022/3/28,34833.03,34957.93,34552.23,34955.89,341647029,94.65
2022/3/29,35114.35,35372.26,35030.07,35294.19,419804272,338.3
2022/3/30,35273.63,35361.36,35058.58,35228.81,369842941,-65.38
2022/3/31,35201.52,35201.52,34677.99,34678.35,484697596,-550.46
2022/4/1,34740.89,34847.91,34538.25,34818.27,379142886,139.92
2022/4/4,34799.98,34940.78,34615.38,34921.88,350557123,103.61
2022/4/5,34876.33,35112.21,34566.04,34641.18,344602811,-280.7
2022/4/6,34520.34,34609.84,34277.17,34496.51,434859407,-144.67
2022/4/7,34439.24,34705.83,34190.95,34583.57,384117327,87.06
2022/4/8,34569.24,34908.46,34470.19,34721.12,351166379,137.55
2022/4/11,34630.27,34701.34,34272.29,34308.08,376083928,-413.04
2022/4/12,34412.51,34669.97,34102.81,34220.36,373804662,-87.72
2022/4/13,34166.64,34598.36,34140.64,34564.59,341268894,344.23
2022/4/14,34628.46,34889.17,34437.5,34451.23,388476298,-113.36
2022/4/18,34411.49,34618.29,34279.08,34411.69,298634820,-39.54
2022/4/19,34394.62,34983.11,34394.62,34911.2,350685346,499.51
2022/4/20,34962.67,35315.4,34962.67,35160.79,378536991,249.59
2022/4/21,35432,35521,34752,34792.76,412438664,-368.03
2022/4/22,34727.38,34727.38,33773.39,33811.4,415964010,-981.36
2022/4/25,33731.65,34106.01,33323.37,34049.46,477810060,238.06
2022/4/26,33907.49,33909.51,33230.95,33240.18,456006869,-809.28
2022/4/27,33450.92,33697.18,33108.89,33301.93,507356836,61.75
2022/4/28,33425.96,34054.79,33248.46,33916.39,510766945,614.46
2022/4/29,33787.01,33919.59,32913.15,32977.21,552952031,-939.18
2022/5/2,32978.49,33224.95,32449.87,33061.5,516891401,84.29
2022/5/3,33086.09,33341.58,32914.75,33128.79,425820730,67.29
2022/5/4,33171.8,34117.74,33021.84,34061.06,479098068,932.27
2022/5/5,33854.17,33854.17,32685.1,32997.97,507031169,-1063.09
2022/5/6,32773.88,33055.84,32474.69,32899.37,457941820,-98.6
2022/5/9,32685.17,32685.17,32121.98,32245.7,535207901,-653.67
2022/5/10,32504.09,32752.17,31887.89,32160.74,493371858,-84.96
2022/5/11,32123.24,32584.02,31798.86,31834.11,521732651,-326.63
2022/5/12,31699.04,31914.46,31228.22,31730.3,596967045,-103.81
2022/5/13,31963.86,32276.05,31862.79,32196.66,430464201,466.36
2022/5/16,32152.15,32514.02,31928.18,32223.42,373751022,26.76
2022/5/17,32427,32689.14,32308.15,32654.59,425402921,431.17
2022/5/18,32468.67,32468.67,31393.95,31490.07,508465869,-1164.52
2022/5/19,31262.62,31569.13,31016.41,31253.13,554268268,-236.94
2022/5/20,31426.94,31515.78,30635.76,31261.9,551025623,8.77
2022/5/23,31395.89,31968.42,31395.89,31880.24,452693827,618.34
2022/5/24,31717.61,32014.86,31365.59,31928.62,428527626,48.38
2022/5/25,31816.31,32254.44,31754.33,32120.28,392989139,191.66
2022/5/26,32248.17,32774.14,32248.17,32637.19,395343889,516.91
2022/5/27,32735.09,33213.62,32682.01,33212.96,369091013,575.77
2022/5/31,33160.59,33240.22,32752.34,32990.12,640857432,-222.84
2022/6/1,33156.31,33272.34,32584.76,32813.23,344779544,-176.89
2022/6/2,32809.01,33248.61,32509.43,33248.28,350437139,435.05
2022/6/3,32986.32,33135.61,32839.21,32899.7,327416082,-348.58
2022/6/6,33032.04,33235.37,32819.5,32915.78,289294618,16.08
2022/6/7,32783.03,33207.45,32641.85,33180.14,327463783,264.36
2022/6/8,33087.07,33156.5,32824.37,32910.9,314420559,-269.24
2022/6/9,32828.62,32956.73,32267.78,32272.79,331546530,-638.11
2022/6/10,32053.52,32053.52,31387.84,31392.79,411949075,-880
2022/6/13,31144.91,31144.91,30373.72,30516.74,526922052,-876.05
2022/6/14,30592.34,30690.8,30144.23,30364.83,412780415,-151.91
2022/6/15,30570.5,31011.97,30185.08,30668.53,440936390,303.7
2022/6/16,30305.74,30305.74,29740.35,29927.07,489307531,-741.46
2022/6/17,29912.7,30167.52,29653.29,29888.78,788325339,-38.29
2022/6/21,30074.69,30653.98,30074.69,30530.25,427754260,641.47
2022/6/22,30352.57,30777.92,30166.01,30483.13,387920496,-47.12
2022/6/23,30570.33,30715.63,30293.4,30677.36,408588705,194.23
2022/6/24,30846.94,31517.29,30846.94,31500.68,509039151,823.32
2022/6/27,31533.6,31598.59,31351.37,31438.26,348046200,-62.42
2022/6/28,31549.05,31885.09,30934.33,30946.99,395277656,-491.27
2022/6/29,31067.41,31152.96,30894.53,31029.31,305796090,82.32
2022/6/30,30790,30979.85,30431.87,30775.43,461856685,-253.88
2022/7/1,30737.77,31139.35,30487.79,31097.26,350901000,321.83
2022/7/5,30903.12,30971.74,30355.12,30967.82,376568685,-129.44
2022/7/6,30957.3,31224.69,30794.84,31037.68,341281472,69.86
2022/7/7,31190.65,31421.84,31154.64,31384.55,332059718,346.87
2022/7/8,31348.43,31511.46,31212.45,31338.15,266469595,-46.4
2022/7/11,31277.98,31367.55,31114.4,31173.84,272135315,-164.31
2022/7/12,31113.31,31346.1,30860.51,30981.33,354141591,-192.51
2022/7/13,30743.63,30979.17,30514.61,30772.79,321953031,-208.54
2022/7/14,30451.8,30680.12,30143.93,30630.17,362360877,-142.62
2022/7/15,30775.37,31288.26,30775.37,31288.26,338528481,658.09
2022/7/18,31475.98,31644.68,30982.97,31072.61,311198805,-215.65
2022/7/19,31165.91,31842.25,31165.91,31827.05,381296480,754.44
2022/7/20,31829.99,31944.45,31646.95,31874.84,319625781,47.79
2022/7/21,31826.49,32040.63,31534.08,32036.9,304723961,162.06
2022/7/22,32167.92,32219.25,31731.47,31899.29,321305304,-137.61
2022/7/25,31950.93,32029.03,31821.67,31990.04,265766390,90.75
2022/7/26,31950.04,31950.04,31705.36,31761.54,334491551,-228.5
2022/7/27,31865.05,32336.23,31799.43,32197.59,368000418,436.05
2022/7/28,32197.62,32609.54,31982.61,32529.63,353759297,332.04
2022/7/29,32515.62,32910.18,32493.02,32845.13,490626216,315.5
2022/8/1,32755.71,32972.03,32640.79,32798.4,325871189,-46.73
2022/8/2,32691.29,32772.93,32387.12,32396.17,320936433,-402.23
2022/8/3,32514.21,32912.74,32514.21,32812.5,343295632,416.33
2022/8/4,32805.69,32829.22,32652.63,32726.82,319099530,-85.68
2022/8/5,32593.9,32814.61,32489.62,32803.47,276515010,76.65
2022/8/8,32877.36,33109.96,32769.1,32832.54,279502059,29.07
2022/8/9,32807.36,32877.53,32702.66,32774.41,283763882,-58.13
2022/8/10,33130.63,33364.41,33130.63,33309.51,319158022,535.1
2022/8/11,33451.51,33651.8,33289.83,33336.67,310650630,27.16
2022/8/12,33430.72,33767.09,33398.32,33761.05,301347691,424.38
2022/8/15,33710.7,33954.71,33582.96,33912.44,264025541,151.39
2022/8/16,33924.35,34281.36,33852.57,34152.01,292106975,239.57
2022/8/17,34029.55,34161.01,33828.41,33980.32,286440403,-171.69
2022/8/18,33981.86,34043.83,33844.46,33999.04,284393452,18.72
2022/8/19,33904.69,33904.69,33627.09,33706.74,299066404,-292.3
2022/8/22,33586.59,33586.59,33007.63,33063.61,310655878,-643.13
2022/8/23,33033.52,33138.26,32858.89,32909.59,255078160,-154.02
2022/8/24,32899.01,33095.5,32828.56,32969.23,259734294,59.64
2022/8/25,33029.27,33306.09,32889.85,33291.78,308882375,322.55
2022/8/26,33293.43,33364.7,32278.22,32283.4,353722890,-1008.38
2022/8/29,32188,32325.16,31972.79,32098.99,320328827,-184.41
2022/8/30,32163.84,32205.66,31647.22,31790.87,330487525,-308.12
2022/8/31,31827.15,31966.04,31509.59,31510.43,395791149,-280.44
2022/9/1,31454.58,31677.51,31219.75,31656.42,340333015.7,145.99
2022/9/2,31848.5,32026.9,31182.09,31318.44,306509704,-337.98
2022/9/6,31343.79,31463.89,31048.46,31145.3,349251416,-173.14
2022/9/7,31145.63,31644.34,31095.21,31581.28,355462933,435.98
2022/9/8,31481.95,31783.37,31321.5,31774.52,344817750,193.24
2022/9/9,31876.22,32227.74,31876.22,32151.71,312658451,377.19
2022/9/12,32159.49,32504.04,32159.49,32381.34,344256236,229.63
2022/9/13,32006.5,32006.5,31018.54,31104.97,435546780,-1276.37
2022/9/14,31141.02,31276.82,30885.02,31135.09,354389873,30.12
2022/9/15,31124.68,31277.69,30882.08,30961.82,349847879,-173.27
2022/9/16,30866.61,30866.61,30550.08,30822.42,627183046,-139.4
2022/9/19,30722.86,31026.89,30559.37,31019.68,297103102,197.26
2022/9/20,30888.53,30888.53,30465.91,30706.23,321727349,-313.45
2022/9/21,30819.39,31020.79,30181.99,30183.78,356306903,-522.45
2022/9/22,30204.52,30302.28,29994.53,30076.68,335769833,-107.1
2022/9/23,29955.65,29955.65,29250.47,29590.41,389920073,-486.27
2022/9/26,29536.84,29630.77,29161.12,29260.81,374813094,-329.6
2022/9/27,29419.88,29659.12,28958.22,29134.99,356299259,-125.82
2022/9/28,29198.92,29811.78,29114.97,29683.74,439769945,548.75
2022/9/29,29513.73,29513.73,28997.34,29225.61,395319566,-458.13
2022/9/30,29123.03,29355.78,28715.85,28725.51,467447554,-500.1
2022/10/3,28855.25,29647.79,28855.25,29490.89,400351325,765.38
2022/10/4,29826.67,30325.05,29826.67,30316.32,379405685,825.43
2022/10/5,30078.36,30454.46,29886.44,30273.87,293025281,-42.45
2022/10/6,30206.13,30329.61,29859.34,29926.94,309524562,-346.93
2022/10/7,29685.27,29685.27,29142.66,29296.79,370733892,-630.15
2022/10/10,29419.09,29485.82,29010.41,29202.88,318747441,-93.91
2022/10/11,29085.2,29608.42,29074.23,29239.19,358851780,36.31
2022/10/12,29233.06,29455.12,29136.03,29210.85,307202072,-28.34
2022/10/13,28755.83,30168.54,28660.94,30038.72,473098183,827.87
2022/10/14,30192.21,30428.82,29614.3,29634.83,381327903,-403.89
2022/10/17,30059.58,30311.95,29997.62,30185.82,374729563,550.99
2022/10/18,30786.08,30837.9,30301.83,30523.8,391159153,337.98
2022/10/19,30439.04,30662.11,30226.9,30423.81,316118359,-99.99
2022/10/20,30411.92,30822.96,30265.2,30333.59,333692781,-90.22
2022/10/21,30291.18,31119.27,30206.28,31082.56,421214048,748.97
2022/10/24,31187.32,31603.63,31161.41,31499.62,345945262,417.06
2022/10/25,31463.65,31876.15,31423.53,31836.74,346983953,337.12
2022/10/26,31738.44,32172.42,31738.44,31839.11,431510104,2.37
2022/10/27,32062.14,32388.42,31993.21,32033.28,401358880,194.17
2022/10/28,32204.31,32889.81,32158.38,32861.8,500050199,828.52
2022/10/31,32754.27,32883.86,32586.93,32732.95,394319372,-128.85
2022/11/1,32862.79,32975.48,32485.23,32653.2,326322368,-79.75
2022/11/2,32576.28,33071.93,32139.77,32147.76,401208174,-505.44
2022/11/3,31985.05,32185.71,31727.05,32001.25,358446783,-146.51
2022/11/4,32265.01,32611.52,31938.92,32403.22,425633665,401.97
2022/11/7,32454.1,32895.59,32424.99,32827,341443491,423.78
2022/11/8,32934.56,33355.39,32831.46,33160.83,351177274,333.83
2022/11/9,33004.47,33065.11,32478.87,32513.94,361977695,-646.89
2022/11/10,33263.91,33727.73,33167.82,33715.37,489082224,1201.43
2022/11/11,33797.75,33817.96,33394.43,33747.86,432067718,32.49
2022/11/14,33662.05,33964.3,33533.96,33536.7,360481719,-211.16
2022/11/15,33755.94,33987.06,33320.2,33592.92,392251317,56.22
2022/11/16,33554.93,33682.83,33516.99,33553.83,305861935,-39.09
2022/11/17,33329.27,33616.02,33239.75,33546.32,321993147,-7.51
2022/11/18,33606.59,33827.94,33540.64,33745.69,314808240,199.37
2022/11/21,33760.3,33864.59,33559.18,33700.28,353729034,-45.41
2022/11/22,33810.05,34115.7,33810.05,34098.1,279856397,397.82
2022/11/23,34091.57,34262.07,34004.64,34194.06,237182894,95.96
2022/11/25,34213.04,34386.51,34199.57,34347.03,132181690,152.97
2022/11/28,34275.91,34303.88,33799.35,33849.46,303537409,-497.57
2022/11/29,33847.8,33933.91,33662.45,33852.53,283093962,3.07
2022/11/30,33795.43,34589.77,33583.77,34589.77,554100958,737.24
2022/12/1,34533.59,34595.51,34129.35,34395.01,349874246,-194.76
2022/12/2,34265.45,34483.21,34039.73,34429.88,291280437,34.87
2022/12/5,34335.73,34335.73,33846.81,33947.1,316730600,-482.78
2022/12/6,33936.87,34006.63,33418.59,33596.34,308065247,-350.76
2022/12/7,33556.4,33774.27,33503.67,33597.92,295575359,1.58
2022/12/8,33695.97,33899.17,33642.46,33781.48,273082104,183.56
2022/12/9,33746.71,33844.63,33462.65,33476.46,292806940,-305.02
2022/12/12,33519.5,34005.04,33519.5,34005.04,321450940,528.58
2022/12/13,34268.44,34712.28,33890.88,34108.64,446557733,103.6
2022/12/14,34086.07,34395.65,33704.17,33966.35,345706520,-142.29
2022/12/15,33773,33773,33016.16,33202.22,395761061,-764.13
2022/12/16,33166.46,33166.46,32654.59,32920.46,789267239,-281.76
2022/12/19,32921.45,33038.94,32581.97,32757.54,330825543,-162.92
2022/12/20,32735.24,32992.23,32649.45,32849.74,309631994,92.2
2022/12/21,33028.09,33437.84,33028.09,33376.48,328388241,526.74
2022/12/22,33233.35,33233.35,32573.43,33027.49,342509235,-348.99
2022/12/23,32961.06,33226.14,32814.02,33203.93,221932148,176.44
2022/12/27,33224.23,33387.72,33069.58,33241.56,247056048,37.63
2022/12/28,33264.76,33379.55,32869.15,32875.71,254988084,-365.85
2022/12/29,33021.43,33293.42,33020.35,33220.8,246092457,345.09
2022/12/30,33121.61,33152.55,32847.82,33147.25,296466276,-73.55
2023/1/3,33148.9,33387.52,32850.57,33136.37,358951411,-10.88
2023/1/4,33165.14,33409.1,33033.48,33269.77,385620372,133.4
2023/1/5,33191.72,33191.72,32812.33,32930.08,343028691,-339.69
2023/1/6,33055.3,33710.66,32997.39,33630.61,365807019,700.53
2023/1/9,33664.39,33935.11,33487.66,33517.65,328602398,-112.96
2023/1/10,33516.43,33726.54,33421.8,33704.1,269943626,186.45
2023/1/11,33754.03,33974.69,33711.04,33973.01,302297828,268.91
2023/1/12,34047.86,34292.67,33792.1,34189.97,308605840,216.96
2023/1/13,34075.31,34342.32,33915.49,34302.61,274402048,112.64
2023/1/17,34222.32,34269.97,33860.67,33910.85,355886413,-391.76
2023/1/18,33948.49,34016.53,33269.9,33296.96,355464262,-613.89
2023/1/19,33171.35,33227.49,32982.05,33044.56,321657187,-252.4
2023/1/20,33073.46,33381.95,32948.93,33375.49,371158867,330.93
2023/1/23,33439.56,33782.88,33316.25,33629.56,358080278,254.07
2023/1/24,33444.72,33782.92,33310.56,33733.96,310757130,104.4
2023/1/25,33538.36,33773.09,33273.21,33743.84,345164077,9.88
2023/1/26,33771.66,33953.79,33635.6,33949.41,337434538,205.57
2023/1/27,33952.93,34164.33,33830.85,33978.08,444748375,28.67
2023/1/30,33909.21,34055.29,33695.18,33717.09,350273436,-260.99
2023/1/31,33803.56,34095.23,33664.91,34086.04,360899710,368.95
2023/2/1,34039.6,34334.7,33581.42,34092.96,373274410,6.92
2023/2/2,34129.3,34145.14,33814.78,34053.94,450418447,-39.02
2023/2/3,33926.3,34179.58,33813.86,33926.01,425692306,-127.93
2023/2/6,33874.44,33962.84,33683.58,33891.02,297051674,-34.99
2023/2/7,33769.78,34240,33634.1,34156.69,362844008,265.67
2023/2/8,34132.9,34161.65,33899.79,33949.01,331798754,-207.68
2023/2/9,34105.61,34252.57,33607.13,33699.88,352340883,-249.13
2023/2/10,33671.54,33897.31,33591.99,33869.27,290040929,169.39
2023/2/13,33887.39,34249.6,33887.39,34245.93,304272069,376.66
2023/2/14,34194.09,34331.47,33827.45,34089.27,293168223,-156.66
2023/2/15,34008.63,34130.49,33833.1,34128.05,273467000,38.78
2023/2/16,33992.09,34041.16,33686.59,33696.85,319323817,-431.2
2023/2/17,33677.01,33846.64,33517.73,33826.69,308061616,129.84
2023/2/21,33699.69,33699.69,33115.74,33129.59,350724881,-697.1
2023/2/22,33169.33,33245.97,32948.27,33045.09,326776120,-84.5
2023/2/23,33175.39,33272.4,32795.67,33153.91,290347857,108.82
2023/2/24,32999.19,32999.19,32643.48,32816.92,279628144,-336.99
2023/2/27,32906.16,33189.28,32814.18,32889.09,247086922,72.17
2023/2/28,32873.47,32873.47,32636.43,32656.7,310230592,-232.39
2023/3/1,32656.37,32746.15,32500.71,32661.84,297667890,5.14
2023/3/2,32780.97,33083.45,32665.85,33003.57,319669922,341.73
2023/3/3,33076.33,33405.82,33008.41,33390.97,304499671,387.4
2023/3/6,33425.32,33572.22,33383.47,33431.44,332530856,40.47
2023/3/7,33428.31,33453.25,32838.21,32856.46,302316239,-574.98
2023/3/8,32872.08,32903.44,32612.7,32798.4,244719997,-58.06
2023/3/9,32876.83,32990.46,32190.6,32254.86,319329492,-543.54
2023/3/10,32185.14,32422.1,31783.41,31909.64,400712458,-345.22
2023/3/13,31819.93,32240.35,31624.87,31819.14,431496714,-90.5
2023/3/14,32055.29,32306.59,31805.4,32155.4,396208485,336.26
2023/3/15,31759.87,31906.47,31429.82,31874.57,428767713,-280.83
2023/3/16,31827.65,32281.61,31571.46,32246.55,444690354,371.98
2023/3/17,32217.32,32217.32,31728.7,31861.98,722354381,-384.57
2023/3/20,31872.33,32280.07,31872.33,32244.58,360596493,382.6
2023/3/21,32420.71,32593.68,32346.12,32560.6,369359044,316.02
2023/3/22,32570.19,32761.89,32020.46,32030.11,333705955,-530.49
